id,L,M,S,XL,XS,XXL,XXXL
873,11,4,13,2,23,7,1
874,24,8,18,17,9,3,14
875,8,14,2,7,20,24,20
876,8,21,19,16,23,27,13
877,1,9,2,8,13,0,22
878,23,1,21,1,23,9,10
879,7,26,14,27,17,27,27
880,24,0,19,17,5,5,12
881,15,27,27,2,23,10,3
882,10,1,18,16,19,16,23
883,9,23,19,23,12,17,17
884,17,19,17,8,8,5,21
885,0,0,9,11,13,18,23
886,24,18,21,15,9,14,0
887,4,21,10,14,24,1,9
888,8,15,12,23,12,9,17
889,4,22,4,0,17,1,16
890,2,21,4,28,18,20,11
891,13,11,23,15,14,16,20
892,8,11,23,25,0,19,3
893,14,6,12,11,15,6,8
894,11,11,9,13,24,1,21
895,26,15,13,9,25,21,11
896,0,22,12,6,8,27,19
897,13,7,19,3,17,28,3
898,17,6,21,14,24,17,14
899,8,5,4,27,28,23,25
900,21,14,25,0,17,2,2
901,3,19,20,24,24,18,2
902,13,9,3,23,13,5,7
903,19,5,23,3,22,25,0
904,4,27,18,5,8,9,19
905,8,2,3,22,25,21,11
906,17,22,10,1,11,26,24
907,23,2,6,26,18,27,21
908,8,18,1,5,23,8,22
909,22,20,7,22,12,27,9
910,19,28,8,7,27,8,7
911,23,14,19,17,23,22,10
912,22,21,26,0,8,4,5
913,22,6,18,19,8,10,26
914,14,8,27,20,6,8,6
915,2,7,26,2,9,0,22
916,20,8,6,8,12,12,21
917,8,27,17,0,17,18,25
918,16,14,3,10,17,23,11
919,5,28,16,0,5,14,16
920,24,17,23,19,3,23,25
921,1,25,9,26,19,0,1
922,24,18,12,22,12,20,28
923,1,20,9,28,5,26,27
924,13,28,15,23,3,11,16
925,8,7,6,16,4,5,19
926,23,8,18,15,24,28,18
927,19,5,15,26,25,2,15
928,5,16,11,22,18,4,11
929,21,18,5,3,10,5,26
930,16,14,6,11,21,27,21
931,2,4,18,17,27,23,10
932,5,16,6,26,11,26,8
933,15,28,7,2,3,11,26
934,8,14,23,10,11,3,28
935,20,28,17,3,18,6,7
936,9,20,14,10,16,24,9
937,14,26,12,12,6,27,24
938,4,21,8,27,6,22,18
939,11,27,1,10,18,8,14
940,25,16,26,8,8,24,28
941,22,25,18,24,15,24,16
942,8,26,24,16,0,25,8
943,16,5,1,23,13,22,4
944,26,6,12,11,28,10,26
945,2,13,2,10,7,7,26
946,13,5,9,23,22,9,2
947,22,13,17,26,27,22,3
948,0,4,3,25,8,18,28
949,15,27,4,15,7,18,24
950,9,14,12,27,9,12,19
951,10,9,2,1,0,17,0
952,12,8,17,2,26,6,0
953,9,22,7,25,23,11,4
954,8,24,15,12,6,16,25
955,27,16,11,21,21,9,12
956,23,0,5,26,7,21,3
957,14,4,22,25,27,22,25
958,22,18,15,28,6,17,28
959,4,26,23,2,23,5,14
960,27,20,8,14,15,28,17
961,16,21,28,13,17,22,3
962,9,22,13,17,5,22,23
963,12,11,2,26,14,27,27
964,3,7,9,7,9,9,5
965,25,21,28,7,10,21,13
966,13,23,22,7,1,6,5
967,12,23,20,24,21,7,0
968,9,15,25,2,23,26,20
969,8,24,0,8,17,6,10
970,12,2,27,5,9,21,1
971,9,1,23,16,11,28,21
972,24,9,2,4,26,16,17
973,8,15,12,12,8,19,26
974,2,2,20,5,13,28,21
975,26,20,12,3,14,22,3
976,0,20,18,0,15,28,16
977,22,14,27,10,8,13,17
978,15,25,10,8,21,12,22
979,14,28,25,8,13,27,28
980,15,10,5,17,27,18,23
981,11,3,25,4,6,16,9
982,9,17,8,1,10,20,1
983,22,24,21,18,19,11,9
984,1,24,18,15,17,24,18
985,6,15,21,1,12,15,16
986,2,16,4,22,18,15,17
987,28,21,22,5,12,6,16
988,8,16,19,28,10,16,7
989,14,7,8,18,20,4,12
990,13,8,24,18,4,25,23
991,0,10,0,16,4,9,4
992,6,19,26,10,11,10,23
993,1,7,24,0,21,1,20
994,0,25,7,27,6,24,24
995,24,27,13,5,22,0,4
996,12,21,2,1,2,1,11
997,28,8,9,13,13,2,0
998,10,19,7,20,23,18,13
999,14,22,12,10,25,2,10
1000,26,19,5,9,19,21,18
1,3,15,6,7,4,17,2
2,6,1,2,16,18,9,15
3,19,9,18,23,19,18,17
4,21,8,2,9,27,25,17
5,0,18,13,26,25,12,19
6,0,4,11,15,0,6,15
7,22,6,10,22,24,2,26
8,22,28,12,18,13,27,2
9,28,22,10,0,8,16,27
10,7,6,15,25,19,28,10
11,1,9,15,6,15,11,2
12,16,1,2,25,16,27,20
13,13,23,24,12,13,21,15
14,9,14,5,5,21,11,16
15,7,20,3,14,13,2,17
16,0,28,4,13,24,13,28
17,9,18,23,13,15,14,3
18,3,27,14,28,23,19,8
19,21,18,13,26,5,22,12
20,2,7,23,4,6,11,6
21,0,0,7,2,28,13,27
22,12,10,24,9,19,20,2
23,27,12,18,15,10,11,17
24,7,1,23,14,19,20,2
25,3,25,9,21,25,28,23
26,1,14,0,23,19,3,19
27,21,15,5,14,2,27,24
28,13,15,3,1,27,9,27
29,1,14,18,0,22,17,9
30,1,18,27,6,16,0,20
31,4,15,28,24,10,20,25
32,27,21,16,1,4,3,20
33,1,7,21,28,26,18,7
34,7,13,21,6,2,1,13
35,16,14,7,10,27,7,24
36,23,15,25,27,16,13,20
37,20,7,15,0,16,12,14
38,9,9,24,22,12,12,15
39,1,26,23,9,4,9,4
40,25,0,5,15,1,23,25
41,0,18,5,18,2,0,18
42,10,27,3,12,9,7,17
43,19,10,12,20,6,13,8
44,5,1,0,20,17,21,3
45,12,7,25,9,3,28,5
46,23,12,6,14,28,0,11
47,19,27,14,25,3,19,11
48,18,10,5,21,3,9,11
49,15,8,8,25,0,28,19
50,8,20,5,12,22,27,13
51,0,2,15,6,5,26,26
52,14,16,8,3,8,7,17
53,2,12,10,3,4,18,5
54,28,13,5,20,23,18,28
55,4,17,5,13,25,19,21
56,27,5,26,20,6,21,2
57,2,11,0,11,13,1,13
58,15,17,27,15,17,13,24
59,19,18,22,20,16,2,4
60,8,6,28,24,7,7,3
61,28,27,13,16,5,5,14
62,5,20,10,13,5,9,14
63,3,22,7,4,22,24,20
64,21,17,14,22,22,4,23
65,0,16,3,8,17,20,1
66,22,18,8,8,27,0,21
67,11,0,19,25,15,5,6
68,7,22,19,17,11,6,23
69,20,14,12,20,27,13,18
70,5,5,26,21,18,27,15
71,11,27,24,5,21,13,21
72,16,14,3,1,20,28,7
73,25,23,24,18,5,6,7
74,0,5,4,19,16,27,17
75,5,2,18,4,2,21,26
76,1,21,19,22,8,22,1
77,14,5,13,3,1,26,2
78,10,7,9,3,28,2,22
79,26,8,23,8,8,20,9
80,10,1,2,2,2,4,14
81,6,18,4,28,25,8,20
82,26,4,20,16,20,9,27
83,17,2,28,27,18,10,18
84,15,28,13,20,11,8,4
85,6,28,11,5,27,3,26
86,23,2,3,9,2,27,6
87,4,10,28,10,4,17,19
88,22,13,27,16,19,5,9
89,4,27,7,10,1,23,0
90,24,10,11,11,3,18,21
91,24,2,23,21,18,5,18
92,11,10,22,24,15,20,18
93,2,20,4,18,15,18,17
94,9,14,28,8,23,4,26
95,9,5,25,19,3,27,1
96,4,12,16,28,10,26,3
97,13,12,17,6,25,12,19
98,8,7,25,20,11,9,23
99,22,26,0,25,1,5,27
100,12,20,26,10,9,1,2
101,10,1,10,0,13,15,22
102,1,27,19,2,5,28,0
103,19,22,24,13,22,7,6
104,20,8,27,1,16,0,16
105,3,20,5,27,10,14,15
106,16,13,25,10,26,22,27
107,20,25,18,9,13,12,13
108,8,10,7,8,12,19,7
109,27,12,25,8,9,12,25
110,5,8,22,21,14,25,11
111,2,7,1,19,28,12,10
112,18,21,27,17,4,16,19
113,18,1,18,10,13,20,22
114,22,9,12,6,1,21,7
115,0,22,27,21,13,22,0
116,14,8,14,0,19,20,1
117,2,10,11,20,17,18,5
118,28,24,28,8,16,15,16
119,7,3,3,1,25,17,1
120,15,27,1,18,7,25,7
121,1,23,26,22,27,10,17
122,7,10,12,12,21,12,5
123,13,18,22,22,19,7,8
124,7,13,8,26,3,5,23
125,7,12,1,22,25,12,19
126,12,3,27,17,19,1,5
127,12,21,12,12,15,11,22
128,20,5,11,7,10,1,15
129,15,26,12,10,9,24,6
130,9,3,9,15,17,28,14
131,27,4,27,16,12,14,18
132,21,5,7,12,0,21,7
133,4,25,14,6,7,21,20
134,8,4,14,10,21,9,15
135,10,15,7,3,10,4,11
136,6,2,5,4,0,5,18
137,24,12,13,28,8,26,24
138,24,28,1,9,19,26,24
139,16,24,24,2,8,28,7
140,12,1,24,6,15,28,4
141,0,25,24,3,6,6,27
142,9,11,6,24,9,25,23
143,22,10,6,7,13,1,22
144,22,11,12,4,4,12,3
145,24,23,2,3,20,15,25
146,2,1,24,11,21,11,3
147,26,4,13,8,18,20,3
148,1,10,5,10,1,17,26
149,13,4,22,0,26,23,22
150,13,27,22,27,11,28,17
151,23,12,18,12,18,0,14
152,0,2,27,11,19,16,17
153,14,8,14,11,11,26,3
154,3,20,12,28,26,20,15
155,26,22,17,15,27,3,23
156,6,18,11,18,1,27,7
157,11,7,2,22,27,22,5
158,24,13,0,0,26,12,2
159,0,15,26,25,18,6,25
160,20,11,8,4,23,13,24
161,19,22,24,21,13,15,18
162,13,27,10,18,5,16,17
163,8,7,23,23,26,15,10
164,18,20,27,3,22,25,24
165,17,18,23,26,3,26,13
166,4,7,0,2,22,16,9
167,7,4,18,5,25,16,12
168,28,1,1,8,11,1,5
169,17,3,24,4,21,18,7
170,2,22,7,12,9,19,4
171,6,28,21,0,14,3,16
172,26,28,1,22,16,4,11
173,27,24,0,20,3,16,12
174,5,4,13,20,15,23,16
175,2,17,12,15,4,5,19
176,21,15,22,24,18,23,23
177,22,7,6,21,11,26,14
178,6,11,19,11,21,10,20
179,19,1,23,7,11,13,22
180,4,14,21,13,25,12,12
181,19,23,0,8,17,23,9
182,13,14,1,6,6,19,4
183,25,18,16,24,1,16,9
184,4,28,4,16,1,16,7
185,7,3,13,3,15,19,24
186,3,22,4,19,7,11,23
187,10,16,22,8,10,12,20
188,26,21,0,28,17,1,21
189,7,1,15,22,10,0,0
190,14,18,20,28,5,0,14
191,20,21,5,21,8,22,12
192,6,26,4,12,8,20,11
193,26,21,5,6,18,14,21
194,3,24,26,1,23,9,5
195,8,11,21,1,16,25,26
196,0,26,14,17,22,16,20
197,25,2,7,28,21,20,20
198,23,12,2,7,22,10,19
199,20,24,5,15,26,1,23
200,7,1,4,12,28,20,12
201,4,5,5,14,3,0,28
202,1,14,8,13,23,9,7
203,7,10,19,15,7,11,11
204,15,18,17,21,16,27,16
205,8,0,13,12,25,11,26
206,21,18,23,17,15,27,26
207,14,14,15,12,9,15,24
208,20,16,20,20,16,5,13
209,23,24,8,10,2,15,18
210,15,11,18,0,5,12,5
211,21,17,9,13,19,14,12
212,12,3,21,2,13,13,5
213,3,2,11,6,28,2,26
214,25,19,3,8,21,17,19
215,14,25,23,11,1,7,10
216,17,24,0,27,11,1,4
217,9,13,23,27,1,6,12
218,13,24,2,27,15,19,28
219,6,2,18,28,8,7,24
220,9,10,16,23,23,16,10
221,6,6,26,13,23,19,25
222,22,26,7,12,12,26,18
223,20,26,0,19,7,14,11
224,28,19,23,26,17,13,7
225,13,1,21,4,15,4,10
226,20,1,1,15,7,25,13
227,15,14,3,13,25,13,14
228,1,22,0,3,0,17,3
229,9,27,14,18,21,24,20
230,20,25,18,13,2,9,19
231,0,25,15,15,27,2,26
232,16,3,11,12,14,16,26
233,21,3,0,12,3,7,9
234,24,13,2,23,22,9,24
235,10,6,17,14,11,21,26
236,3,9,12,9,3,27,17
237,19,5,6,25,6,23,8
238,24,8,4,8,17,13,24
239,28,2,7,6,27,24,9
240,23,9,13,28,27,8,6
241,9,2,11,22,2,10,9
242,9,2,9,3,25,23,12
243,11,23,9,7,21,24,20
244,9,23,5,16,17,21,9
245,27,13,14,10,9,0,3
246,23,16,18,0,12,7,8
247,0,17,9,5,6,26,18
248,18,1,4,18,24,28,6
249,9,5,18,19,6,25,6
250,14,23,11,0,25,17,6
251,20,11,8,23,20,17,10
252,24,27,20,3,8,1,26
253,14,0,17,26,18,18,16
254,21,18,15,16,5,12,12
255,26,22,26,3,19,13,14
256,13,22,1,18,14,3,7
257,22,16,11,26,3,8,22
258,2,4,19,24,15,19,15
259,26,9,25,7,10,12,4
260,6,13,20,12,26,17,17
261,18,6,7,1,16,11,8
262,10,1,10,10,14,12,20
263,7,15,19,6,26,22,18
264,26,17,4,22,15,10,8
265,18,14,12,4,27,25,4
266,18,27,21,11,19,10,20
267,21,8,19,18,12,0,24
268,13,10,13,7,18,5,13
269,26,11,25,13,5,12,9
270,17,16,19,8,15,22,16
271,9,12,9,3,7,8,5
272,4,27,24,0,16,0,20
273,11,13,1,19,4,7,23
274,16,13,0,5,15,5,10
275,16,6,20,4,23,5,12
276,16,19,4,3,27,21,20
277,17,0,25,24,20,10,8
278,17,10,4,13,6,11,23
279,18,17,27,9,26,4,14
280,3,17,16,10,25,27,8
281,21,28,17,17,22,19,24
282,7,18,9,22,19,2,19
283,10,20,25,8,23,17,17
284,0,28,13,3,18,19,2
285,10,2,4,26,24,22,21
286,1,21,2,4,14,2,15
287,13,23,18,18,26,10,9
288,5,23,11,0,27,22,23
289,15,8,25,3,0,7,0
290,6,4,15,22,25,22,12
291,2,1,10,0,24,14,27
292,22,14,5,7,0,9,21
293,5,11,24,12,10,27,3
294,2,3,20,15,27,5,5
295,24,15,0,9,26,27,28
296,14,27,18,28,9,19,18
297,21,15,20,21,16,28,0
298,18,27,14,11,13,22,17
299,18,21,20,28,12,12,20
300,26,24,0,0,18,27,17
301,18,2,6,12,14,14,18
302,12,19,16,22,21,4,18
303,27,28,22,4,8,19,12
304,0,17,27,2,9,13,19
305,16,18,18,25,4,3,13
306,2,27,16,25,21,11,1
307,9,10,22,6,17,17,18
308,17,20,5,4,12,6,7
309,10,15,0,15,24,6,3
310,2,21,17,12,0,19,19
311,25,26,0,23,24,26,3
312,21,24,17,6,0,14,11
313,0,11,3,18,11,23,1
314,16,6,6,8,21,1,19
315,27,2,4,24,20,12,0
316,5,9,17,21,20,16,14
317,21,24,9,26,20,10,15
318,28,7,11,21,12,4,3
319,28,6,12,28,2,24,0
320,20,27,8,5,5,15,1
321,5,4,27,26,25,21,20
322,0,21,28,18,23,1,13
323,24,7,14,15,3,4,8
324,6,11,12,17,5,23,1
325,26,27,3,13,8,8,25
326,20,24,1,23,11,1,5
327,5,5,3,25,3,23,22
328,15,14,24,14,5,10,22
329,12,5,17,5,0,3,8
330,9,2,21,12,23,23,26
331,3,9,20,6,0,28,4
332,16,1,12,14,23,17,24
333,9,22,6,21,19,24,21
334,8,21,20,26,22,26,15
335,9,19,5,15,8,22,25
336,11,6,25,1,8,26,7
337,20,6,7,12,11,3,0
338,8,5,11,27,20,17,1
339,8,24,13,16,3,9,3
340,2,15,13,16,20,17,14
341,12,13,27,11,11,2,12
342,20,13,28,17,1,3,5
343,2,17,22,2,25,5,7
344,10,27,2,11,5,2,19
345,13,19,19,21,11,26,9
346,1,1,9,6,13,14,5
347,8,12,19,4,28,28,13
348,19,27,19,15,27,23,7
349,9,3,10,10,15,14,4
350,5,26,25,28,16,7,2
351,19,22,20,14,3,18,14
352,20,27,9,11,3,1,10
353,16,18,18,14,11,5,8
354,12,10,12,1,16,24,2
355,7,12,27,1,26,18,5
356,9,3,15,2,15,11,19
357,1,6,1,27,19,22,28
358,7,28,3,22,16,22,2
359,24,5,25,5,0,11,5
360,24,5,27,28,9,1,0
361,17,7,27,16,12,12,15
362,22,0,15,10,20,2,15
363,10,1,16,16,3,5,25
364,16,26,5,8,20,12,4
365,14,25,15,17,28,15,12
366,10,24,26,18,26,16,4
367,14,1,18,1,20,9,0
368,20,3,26,0,5,11,24
369,13,1,10,7,17,14,11
370,3,25,10,9,5,13,7
371,12,1,27,25,18,24,9
372,25,28,11,5,7,10,6
373,0,2,11,11,28,12,21
374,16,16,19,15,4,10,4
375,6,23,28,23,7,22,20
376,9,7,16,6,9,18,12
377,12,22,10,4,23,10,19
378,25,27,9,16,0,2,20
379,13,13,9,16,18,11,9
380,25,6,28,0,22,26,14
381,1,20,5,17,4,17,19
382,20,10,15,27,2,7,23
383,5,17,7,2,12,20,15
384,10,7,22,2,10,16,11
385,4,2,20,16,18,13,9
386,4,18,20,0,7,3,26
387,13,9,26,20,5,10,3
388,26,8,3,17,25,6,19
389,12,25,25,26,20,4,18
390,9,9,13,13,24,15,20
391,15,13,5,4,27,8,27
392,12,5,1,10,4,20,2
393,21,28,3,12,3,12,12
394,7,21,2,7,24,25,21
395,2,12,0,24,21,2,1
396,13,22,15,11,13,2,10
397,9,26,12,19,14,13,3
398,17,18,27,26,14,4,2
399,23,1,20,27,8,9,12
400,2,20,8,23,10,13,3
401,7,7,11,24,15,8,19
402,14,14,2,11,2,24,12
403,4,10,3,24,12,27,23
404,25,13,26,11,28,16,5
405,3,0,0,16,28,26,2
406,16,26,15,28,15,17,28
407,8,23,0,23,11,15,16
408,25,17,20,28,10,27,20
409,5,6,21,22,3,15,0
410,3,18,12,16,4,23,16
411,26,17,16,10,14,18,5
412,2,22,24,3,10,22,21
413,21,27,27,0,21,18,23
414,7,4,11,8,16,6,8
415,9,10,19,22,1,8,3
416,21,12,12,28,28,14,25
417,28,19,22,22,11,24,15
418,15,19,17,6,22,20,26
419,19,26,11,1,6,4,28
420,3,1,12,22,27,3,9
421,25,16,0,22,21,18,9
422,22,10,10,16,23,1,1
423,13,3,27,19,6,26,1
424,16,10,27,17,15,27,24
425,9,2,26,6,4,3,18
426,25,23,9,20,10,16,10
427,0,11,15,12,13,2,10
428,4,23,4,14,2,15,25
429,26,8,5,17,1,22,19
430,24,2,17,15,22,14,3
431,15,2,3,22,7,22,8
432,7,4,14,0,28,6,20
433,0,19,27,9,26,27,9
434,3,27,22,15,15,18,18
435,11,3,14,25,22,16,11
436,27,3,25,24,8,20,15
437,10,15,26,10,13,14,4
438,5,11,10,3,13,15,24
439,20,10,11,6,18,6,24
440,22,12,1,16,26,5,26
441,3,3,7,0,5,21,17
442,14,21,18,0,15,9,13
443,25,2,14,7,1,11,24
444,0,26,17,0,27,16,27
445,4,1,9,13,16,7,23
446,20,3,11,5,26,15,21
447,23,12,8,27,16,11,16
448,3,1,6,3,24,11,22
449,15,25,17,23,13,0,28
450,19,9,28,3,11,13,17
451,28,24,18,15,26,21,15
452,0,1,12,21,17,17,6
453,7,20,2,7,26,26,1
454,2,5,16,0,10,6,17
455,0,5,23,6,3,2,24
456,3,22,28,24,21,0,7
457,12,7,11,15,12,9,11
458,10,15,12,22,9,17,14
459,10,10,14,14,26,19,0
460,13,1,6,15,21,23,8
461,9,2,18,8,1,5,23
462,3,4,3,0,12,8,14
463,11,3,0,23,8,28,6
464,24,4,0,25,21,28,3
465,25,19,11,19,11,10,7
466,8,28,18,24,17,23,24
467,9,11,28,27,4,23,18
468,15,1,2,27,28,22,27
469,9,14,15,17,11,2,18
470,20,28,19,20,28,0,6
471,11,11,6,7,3,8,13
472,11,17,3,2,3,22,24
473,15,0,25,6,23,3,4
474,7,13,3,15,19,15,19
475,0,11,4,3,13,11,3
476,9,26,14,16,10,4,14
477,11,7,20,19,12,0,16
478,1,16,23,2,28,13,25
479,17,14,15,14,5,18,0
480,23,11,12,16,19,28,7
481,4,27,3,25,1,21,12
482,19,5,2,2,22,20,2
483,12,0,3,22,7,16,1
484,2,4,23,0,25,2,1
485,28,4,24,16,18,16,24
486,1,7,10,5,23,12,2
487,25,28,7,10,28,2,20
488,19,16,19,8,2,1,8
489,16,1,19,1,3,25,0
490,12,14,18,12,20,15,3
491,22,4,25,15,10,23,17
492,4,11,16,27,28,5,16
493,17,17,19,4,24,8,27
494,3,9,10,26,13,27,9
495,28,18,3,26,20,1,0
496,16,8,15,8,17,12,24
497,12,13,8,6,23,1,12
498,18,26,24,2,5,8,9
499,24,10,27,18,0,14,0
500,2,1,5,0,22,28,17
501,4,23,14,12,4,9,24
502,28,7,6,4,23,20,7
503,4,20,20,4,10,17,10
504,25,0,28,3,3,10,17
505,26,13,20,0,14,26,0
506,19,12,8,15,16,28,21
507,25,25,21,16,5,5,6
508,23,17,27,17,2,25,8
509,4,0,13,13,12,5,12
510,25,27,2,2,17,14,11
511,13,20,0,20,23,21,15
512,2,24,3,2,7,20,26
513,15,23,28,12,19,12,27
514,2,8,1,20,3,4,14
515,11,28,14,12,0,15,1
516,27,7,2,8,9,26,2
517,23,17,27,0,0,18,6
518,6,9,0,5,19,28,2
519,27,12,7,13,1,1,27
520,12,0,19,2,7,21,8
521,5,25,21,22,15,7,28
522,17,0,19,19,10,19,4
523,19,10,23,2,23,19,10
524,11,19,20,16,15,7,25
525,1,20,2,10,19,7,6
526,0,26,27,10,4,7,16
527,25,21,21,28,20,0,1
528,6,6,21,9,17,15,13
529,4,8,2,7,1,10,19
530,23,21,2,9,2,24,23
531,28,23,9,21,26,23,15
532,6,26,25,25,21,12,3
533,6,21,8,0,25,11,3
534,10,12,28,13,0,7,21
535,8,2,28,17,2,26,12
536,18,22,17,4,2,23,2
537,14,0,17,4,2,27,20
538,7,9,21,2,27,16,28
539,20,19,13,12,5,28,12
540,26,6,19,24,23,10,28
541,28,18,21,2,27,16,9
542,25,15,21,27,8,20,1
543,21,23,2,1,21,22,9
544,7,19,15,1,16,25,27
545,11,9,14,7,17,20,1
546,28,5,12,2,20,26,11
547,8,12,28,5,6,20,16
548,18,11,5,28,26,23,11
549,2,21,20,19,6,11,10
550,20,5,1,18,7,0,9
551,2,17,10,14,15,11,11
552,22,0,2,16,10,13,13
553,4,4,15,8,13,7,10
554,0,3,19,10,27,15,26
555,12,20,13,11,15,18,5
556,14,10,20,14,15,28,16
557,4,13,23,13,4,4,8
558,10,7,8,4,12,3,1
559,14,4,6,14,20,3,15
560,0,26,23,17,16,20,7
561,2,24,14,16,27,17,8
562,16,16,17,25,27,6,3
563,11,26,27,12,27,23,20
564,13,15,5,26,24,15,3
565,25,18,19,4,13,5,9
566,7,11,17,3,0,27,2
567,3,12,15,7,23,1,25
568,10,8,15,12,1,0,5
569,2,11,23,1,22,2,15
570,3,27,8,5,5,8,9
571,11,3,12,1,18,20,18
572,8,27,21,19,14,18,11
573,23,21,5,23,26,22,16
574,26,20,11,28,15,24,8
575,10,17,6,6,2,18,0
576,2,17,14,13,2,28,1
577,19,13,9,7,0,13,2
578,9,10,4,14,21,3,24
579,12,5,9,21,3,9,6
580,15,23,8,8,13,20,11
581,8,21,10,2,20,13,5
582,28,28,1,0,5,14,28
583,0,21,7,14,0,9,17
584,21,28,7,28,17,6,9
585,26,21,18,6,6,28,1
586,9,9,8,17,12,9,24
587,12,6,26,5,13,10,18
588,20,9,0,19,3,15,20
589,5,11,3,6,25,6,1
590,18,22,0,20,27,14,1
591,0,8,2,20,6,8,18
592,20,0,20,4,8,0,1
593,14,1,17,23,9,0,26
594,15,1,24,18,0,2,16
595,12,8,25,16,25,14,9
596,17,19,3,6,11,5,14
597,1,11,2,14,19,13,4
598,24,14,27,1,22,6,3
599,10,26,3,7,28,13,25
600,19,28,2,5,24,7,21
601,9,20,19,8,13,0,26
602,7,13,7,22,4,3,21
603,4,10,16,8,14,23,17
604,15,6,8,21,7,0,27
605,5,4,25,14,26,8,13
606,9,5,12,20,19,25,2
607,9,8,25,5,9,9,23
608,7,22,26,1,4,18,16
609,14,13,23,2,16,24,0
610,13,21,10,7,10,7,16
611,9,3,2,16,4,9,6
612,14,21,4,9,25,9,5
613,21,10,3,4,0,4,8
614,17,11,19,21,28,17,24
615,11,17,11,8,19,17,4
616,24,28,2,2,12,17,23
617,11,27,5,2,22,6,5
618,20,7,27,2,1,23,27
619,14,22,14,18,23,18,5
620,9,18,21,12,19,25,14
621,1,6,12,17,5,26,10
622,20,28,27,27,20,6,11
623,18,23,22,28,10,12,7
624,26,18,1,13,6,3,8
625,6,16,12,9,10,24,12
626,15,27,7,6,20,28,28
627,25,3,14,6,10,15,20
628,24,25,7,1,3,20,7
629,22,5,4,23,18,16,16
630,6,0,8,10,26,15,15
631,20,17,16,15,23,4,8
632,26,25,2,18,19,13,9
633,20,8,0,9,3,18,22
634,26,23,27,15,11,14,14
635,18,20,25,6,2,6,20
636,27,13,3,3,11,18,5
637,10,20,21,11,27,11,20
638,22,12,22,3,28,21,25
639,22,4,13,24,17,4,10
640,7,27,27,18,11,27,15
641,8,22,0,11,13,6,5
642,24,13,4,25,5,13,27
643,6,1,0,20,23,3,0
644,1,16,9,1,6,8,13
645,27,8,11,18,21,15,23
646,11,5,6,25,27,20,8
647,19,24,9,11,12,1,17
648,5,28,6,8,21,10,19
649,14,10,12,28,25,6,19
650,8,15,25,6,27,28,6
651,7,19,28,26,10,28,6
652,13,25,8,10,27,3,6
653,11,20,15,12,4,25,3
654,5,28,10,25,6,14,13
655,4,16,14,16,17,18,6
656,6,10,22,16,2,11,18
657,15,3,5,6,13,22,26
658,17,25,17,14,12,13,19
659,20,13,17,7,12,24,27
660,28,7,14,20,27,17,11
661,24,11,4,9,16,13,11
662,28,26,22,5,26,28,26
663,4,7,14,16,25,1,15
664,0,2,13,16,18,18,17
665,18,11,10,3,19,2,3
666,18,21,17,15,6,8,26
667,1,1,4,26,19,27,20
668,17,25,24,21,20,13,16
669,10,13,3,27,6,23,1
670,8,15,24,4,2,9,18
671,0,27,18,7,3,4,0
672,13,17,20,0,11,12,14
673,11,5,6,20,5,13,17
674,10,25,11,27,1,25,27
675,25,11,11,14,13,5,0
676,23,21,3,10,27,5,26
677,0,26,2,3,21,21,8
678,4,8,27,18,25,9,27
679,14,13,20,15,7,3,2
680,10,10,11,18,26,1,7
681,15,18,25,3,13,4,7
682,3,15,7,22,8,19,15
683,4,10,28,9,20,3,22
684,18,28,18,25,22,28,0
685,3,23,27,27,24,0,11
686,7,25,22,8,2,5,8
687,5,2,10,15,10,12,27
688,16,22,7,23,16,12,24
689,21,5,11,9,11,6,28
690,5,27,22,5,16,6,6
691,18,15,4,28,17,16,15
692,20,7,6,0,8,1,21
693,25,26,11,7,17,17,5
694,26,28,11,1,25,6,17
695,17,26,2,13,23,13,20
696,13,17,6,21,9,24,28
697,9,24,10,20,19,19,14
698,3,4,25,14,8,15,17
699,1,2,4,27,0,18,14
700,9,25,3,0,13,28,26
701,6,17,8,5,11,6,4
702,3,2,25,21,9,16,28
703,23,26,28,6,3,15,8
704,1,13,25,5,8,26,14
705,13,14,18,8,9,16,16
706,9,7,7,22,24,22,20
707,4,14,7,4,3,5,23
708,8,10,8,18,0,24,17
709,19,20,23,27,14,19,9
710,1,11,9,20,28,11,28
711,9,15,14,24,19,27,2
712,26,6,5,13,27,21,15
713,19,3,28,8,2,3,22
714,1,25,14,5,0,20,7
715,10,1,3,6,12,2,9
716,23,11,9,5,2,14,28
717,12,9,15,28,4,17,1
718,27,12,3,24,18,2,21
719,10,9,22,12,25,15,0
720,28,27,14,0,3,22,10
721,1,9,13,17,5,26,13
722,10,15,6,14,26,23,20
723,28,23,15,2,22,26,14
724,4,14,1,6,27,17,7
725,10,20,4,27,24,18,15
726,5,8,22,19,14,7,1
727,2,1,1,25,13,27,27
728,28,11,4,28,18,18,2
729,13,27,18,20,7,2,15
730,19,22,0,20,26,10,5
731,1,16,1,17,6,4,0
732,28,16,9,11,1,7,6
733,16,11,27,10,23,2,19
734,11,13,17,8,28,25,27
735,18,21,15,13,7,14,18
736,9,22,26,12,10,28,5
737,3,26,5,25,26,3,5
738,5,8,27,28,11,18,6
739,18,10,21,13,19,21,5
740,10,23,12,21,26,2,12
741,6,16,6,7,3,10,28
742,2,27,14,18,9,0,25
743,20,7,22,15,26,24,10
744,10,6,6,1,13,8,27
745,19,20,28,5,12,22,27
